name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Anas acuta,GR,A054,GRA054,Migration,,Publication: article,"Sokos C.K., Birtsas P.K., Platis P.C., Papaspyropoulos K.G. 2016. Weather influence on the abundance of bird species wintering in three Mediterranean ecosystems. Folia Zoologica 65(3): 200–207.",part of a country,2000-2003,Monitoring,English
Anas clypeata,GR,A056,GRA056,Migration,,Publication: article,"Sokos C.K., Birtsas P.K., Platis P.C., Papaspyropoulos K.G. 2016. Weather influence on the abundance of bird species wintering in three Mediterranean ecosystems. Folia Zoologica 65(3): 200–207.",part of a country,2000-2003,Monitoring,English
Scolopax rusticola,GR,A155,GRA155,Migration,,Publication: article,"Sokos C.K., Birtsas P.K., Platis P.C., Papaspyropoulos K.G. 2016. Weather influence on the abundance of bird species wintering in three Mediterranean ecosystems. Folia Zoologica 65(3): 200–207.",part of a country,"1992-1995,1998-2006",Monitoring with the aid of pointing hunting dogs,English
Anser albifrons albifrons,GR,A394,GRA394,Migration,,Publication: article,"Sokos C.K., Birtsas P.K., Platis P.C., Papaspyropoulos K.G. 2016. Weather influence on the abundance of bird species wintering in three Mediterranean ecosystems. Folia Zoologica 65(3): 200–207.",part of a country,2000-2003,Monitoring,English
Turdus merula,GR,A283,GRA283,Reproduction,,Publication: book,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",country,1996-1997,Bibliography,English
Turdus merula,GR,A283,GRA283,Reproduction,,Other,"HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign 
countries (1930-1997). Unpublished report.",country,1930-1997,Recoveries,Greek
Turdus philomelos,GR,A285,GRA285,Reproduction,,Publication: book,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",country,1996-1997,Bibliography,English
Turdus philomelos,GR,A285,GRA285,Reproduction,,Other,ntries (1930-1997). Unpublished report.,country,1930-1997,Recoveries,Greek
Fulica atra,GR,A125,GRA125,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Fulica atra,GR,A125,GRA125,Reproduction,,Publication: book,"Papageorgiou, Ν., 1990. Wildlife Biology.",country,1989-1990,Bibliography,Greek
Fulica atra,GR,A125,GRA125,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Fulica atra,GR,A125,GRA125,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Gallinula chloropus,GR,A123,GRA123,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Gallinula chloropus,GR,A123,GRA123,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology",country,2007-2008,Bibliography,Greek
Gallinula chloropus,GR,A123,GRA123,Reproduction,,Publication: book,"Papageorgiou, Ν., 1990. Wildlife Biology.",country,1989-1990,Bibliography,Greek
Gallinula chloropus,GR,A123,GRA123,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Anas platyrhynchos,GR,A053,GRA053,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anas platyrhynchos,GR,A053,GRA053,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Anas platyrhynchos,GR,A053,GRA053,Reproduction,,Publication: book,"Papageorgiou, Ν., 1990. Wildlife Biology.",country,1989-1990,Bibliography,Greek
Anas platyrhynchos,GR,A053,GRA053,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Anas crecca,GR,A052,GRA052,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anas strepera,GR,A051,GRA051,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anas strepera,GR,A051,GRA051,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Anas strepera,GR,A051,GRA051,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Alectoris graeca,GR,A109,GRA109,Reproduction,,Publication: article,"Manios, N., 2002. The ecology of the rock partridge (Alectoris graeca graeca in Epirus and Fokida (Greece). Ph.D. Thesis, Aristotele Univ. of Thessaloniki.",part of a country,1999-2000,Nesting study,Greek
Alectoris graeca,GR,A109,GRA109,Reproduction,,Publication: book,"Papageorgiou, Ν., 1990. Wildlife Biology.",country,1989-1990,Bibliography,Greek
Alectoris graeca,GR,A109,GRA109,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Alectoris graeca,GR,A109,GRA109,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Columba palumbus,GR,A208,GRA208,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2016-2017,Bibliography,Greek
Columba palumbus,GR,A208,GRA208,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Columba palumbus,GR,A208,GRA208,Reproduction,,Publication: book,"Papageorgiou, Ν., 1990. Wildlife Biology.",country,1989-1990,Bibliography,Greek
Columba palumbus,GR,A208,GRA208,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Anas querquedula,GR,A055,GRA055,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anas clypeata,GR,A056,GRA056,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Aythya ferina,GR,A059,GRA059,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Aythya ferina,GR,A059,GRA059,Reproduction,,Web-material,https://www.keep.eu/keep/project-ext/11162/ThiroPedia,part of a country,2007-2013,Bibliography,Greek
Aythya ferina,GR,A059,GRA059,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Aythya fuligula,GR,A061,GRA061,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Gallinago gallinago,GR,A153,GRA153,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Vanellus vanellus,GR,A142,GRA142,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anas acuta,GR,A054,GRA054,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Scolopax rusticola,GR,A155,GRA155,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Monitoring with the aid of pointing hunting dogs,Greek
Alectoris chukar,GR,A411,GRA411,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2007-2008,Bibliography,Greek
Alectoris chukar,GR,A411,GRA411,Reproduction,,Publication: book,"Papageorgiou, Ν., 1990. Wildlife Biology.",country,1989-1990,Bibliography,Greek
Anser albifrons albifrons,GR,A394,GRA394,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anas querquedula,GR,A055,GRA055,Reproduction,,Publication: book,"Bakaloudis, D. (2008) Wildlife Biology.",country,2006-2008,Bibliography,Greek
Anas penelope,GR,A050,GRA050,Migration,,Technical report,"Vlachos, C., Thomaides, C., Birtsas, P., Paralikidis, N., karabatzakis, T., Logothetis G., Christoforidou, G., Giapis, A., Ricci,  J.C., Triplet, P., Czajkowski, A., Chatzinikos, E., Braziotis, S., Xenos, A., Dedousopoulou, E., & D. Kiousis (2018) “The im",country,2006-2017,Long-term monitoring,Greek
Anser albifrons,GR,A041,GRA041,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas penelope,GR,A050,GRA050,Migration,,,"DRETAKIS, M. (in prep.). The Waterbirds of the Cretan lakes and reservoirs. Patterns of abundance and diversity in relation to ecological parameters of biotopes. PhD Thesis, Department of Biology, University of Crete, Greece.",,,,
Anas penelope,GR,A050,GRA050,Migration,,,"BONNETTI, A., C. PAPACONSTANTINOU & N. KARDAKARI, 2000. The Birds of Gialova Lagoon. Hellenic Ornithological Society, Athens. (in press) LIFE report in Greek.",,,,
Anas penelope,GR,A050,GRA050,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas strepera,GR,A051,GRA051,Migration,,,"DRETAKIS, M. (in prep.). The Waterbirds of the Cretan lakes and reservoirs. Patterns of abundance and diversity in relation to ecological parameters of biotopes. PhD Thesis, Department of Biology, University of Crete, Greece.",,,,
Anas strepera,GR,A051,GRA051,Migration,,,"BONNETTI, A., C. PAPACONSTANTINOU & N. KARDAKARI, 2000. The Birds of Gialova Lagoon. Hellenic Ornithological Society, Athens. (in press) LIFE report in Greek.",,,,
Anas strepera,GR,A051,GRA051,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas crecca,GR,A052,GRA052,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Anas crecca,GR,A052,GRA052,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Anas crecca,GR,A052,GRA052,Migration,,,ORNIS DATABASE. Greece.,,,,
Anas crecca,GR,A052,GRA052,Migration,,,"DRETAKIS, M. (in prep.). The Waterbirds of the Cretan lakes and reservoirs. Patterns of abundance and diversity in relation to ecological parameters of biotopes. PhD Thesis, Department of Biology, University of Crete, Greece.",,,,
Anas crecca,GR,A052,GRA052,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas platyrhynchos,GR,A053,GRA053,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Anas platyrhynchos,GR,A053,GRA053,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Anas platyrhynchos,GR,A053,GRA053,Migration,,,ORNIS DATABASE. Greece.,,,,
Anas platyrhynchos,GR,A053,GRA053,Migration,,,"DRETAKIS, M. (in prep.). The Waterbirds of the Cretan lakes and reservoirs. Patterns of abundance and diversity in relation to ecological parameters of biotopes. PhD Thesis, Department of Biology, University of Crete, Greece.",,,,
Anas platyrhynchos,GR,A053,GRA053,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas acuta,GR,A054,GRA054,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Anas acuta,GR,A054,GRA054,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Anas acuta,GR,A054,GRA054,Migration,,,ORNIS DATABASE. Greece.,,,,
Anas acuta,GR,A054,GRA054,Migration,,,"DRETAKIS, M. (in prep.). The Waterbirds of the Cretan lakes and reservoirs. Patterns of abundance and diversity in relation to ecological parameters of biotopes. PhD Thesis, Department of Biology, University of Crete, Greece.",,,,
Anas acuta,GR,A054,GRA054,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas querquedula,GR,A055,GRA055,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Anas querquedula,GR,A055,GRA055,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Anas querquedula,GR,A055,GRA055,Migration,,,ORNIS DATABASE. Greece.,,,,
Anas querquedula,GR,A055,GRA055,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Anas clypeata,GR,A056,GRA056,Migration,,,"BONNETTI, A., C. PAPACONSTANTINOU & N. KARDAKARI, 2000. The Birds of Gialova Lagoon. Hellenic Ornithological Society, Athens. (in press) LIFE report in Greek.",,,,
Anas clypeata,GR,A056,GRA056,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Aythya ferina,GR,A059,GRA059,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Aythya ferina,GR,A059,GRA059,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Aythya ferina,GR,A059,GRA059,Migration,,,ORNIS DATABASE. Greece.,,,,
Aythya ferina,GR,A059,GRA059,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Aythya fuligula,GR,A061,GRA061,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Aythya fuligula,GR,A061,GRA061,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Aythya fuligula,GR,A061,GRA061,Migration,,,ORNIS DATABASE. Greece.,,,,
Aythya fuligula,GR,A061,GRA061,Migration,,,"BONNETTI, A., C. PAPACONSTANTINOU & N. KARDAKARI, 2000. The Birds of Gialova Lagoon. Hellenic Ornithological Society, Athens. (in press) LIFE report in Greek.",,,,
Aythya fuligula,GR,A061,GRA061,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Coturnix coturnix,GR,A113,GRA113,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Coturnix coturnix,GR,A113,GRA113,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Coturnix coturnix,GR,A113,GRA113,Migration,,,ORNIS DATABASE. Greece.,,,,
Gallinula chloropus,GR,A123,GRA123,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Gallinula chloropus,GR,A123,GRA123,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Gallinula chloropus,GR,A123,GRA123,Migration,,,ORNIS DATABASE. Greece.,,,,
Fulica atra,GR,A125,GRA125,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Fulica atra,GR,A125,GRA125,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Fulica atra,GR,A125,GRA125,Migration,,,ORNIS DATABASE. Greece.,,,,
Fulica atra,GR,A125,GRA125,Migration,,,"Kazantzidis S. & M Noidou (eds). 2008. Migration phenology of huntable waterfowl species in Greece. Final project report. Ministry of Rural Development and Food. Forest Research Institurte - NAGREF, Thessaloniki 255 pp. (in Greek)",,,,
Vanellus vanellus,GR,A142,GRA142,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Vanellus vanellus,GR,A142,GRA142,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Vanellus vanellus,GR,A142,GRA142,Migration,,,ORNIS DATABASE. Greece.,,,,
Lymnocryptes minimus,GR,A152,GRA152,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Lymnocryptes minimus,GR,A152,GRA152,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Lymnocryptes minimus,GR,A152,GRA152,Migration,,,ORNIS DATABASE. Greece.,,,,
Gallinago gallinago,GR,A153,GRA153,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Gallinago gallinago,GR,A153,GRA153,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Gallinago gallinago,GR,A153,GRA153,Migration,,,ORNIS DATABASE. Greece.,,,,
Scolopax rusticola,GR,A155,GRA155,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Scolopax rusticola,GR,A155,GRA155,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Scolopax rusticola,GR,A155,GRA155,Migration,,,ORNIS DATABASE. Greece.,,,,
Columba palumbus,GR,A208,GRA208,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Columba palumbus,GR,A208,GRA208,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Columba palumbus,GR,A208,GRA208,Migration,,,ORNIS DATABASE. Greece.,,,,
Streptopelia turtur,GR,A210,GRA210,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Streptopelia turtur,GR,A210,GRA210,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Streptopelia turtur,GR,A210,GRA210,Migration,,,ORNIS DATABASE. Greece.,,,,
Alauda arvensis,GR,A247,GRA247,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Alauda arvensis,GR,A247,GRA247,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Alauda arvensis,GR,A247,GRA247,Migration,,,ORNIS DATABASE. Greece.,,,,
Turdus merula,GR,A283,GRA283,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Turdus merula,GR,A283,GRA283,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Turdus merula,GR,A283,GRA283,Migration,,,ORNIS DATABASE. Greece.,,,,
Turdus philomelos,GR,A285,GRA285,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Turdus philomelos,GR,A285,GRA285,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Turdus philomelos,GR,A285,GRA285,Migration,,,ORNIS DATABASE. Greece.,,,,
Turdus iliacus,GR,A286,GRA286,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Turdus iliacus,GR,A286,GRA286,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Turdus iliacus,GR,A286,GRA286,Migration,,,ORNIS DATABASE. Greece.,,,,
Turdus viscivorus,GR,A287,GRA287,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Turdus viscivorus,GR,A287,GRA287,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Turdus viscivorus,GR,A287,GRA287,Migration,,,ORNIS DATABASE. Greece.,,,,
Sturnus vulgaris,GR,A351,GRA351,Migration,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Sturnus vulgaris,GR,A351,GRA351,Migration,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Sturnus vulgaris,GR,A351,GRA351,Migration,,,ORNIS DATABASE. Greece.,,,,
Alectoris graeca,GR,A109,GRA109,Reproduction,,,"F. REITZ (pers. comm.), Office National de la Chasse.",,,,
Coturnix coturnix,GR,A113,GRA113,Reproduction,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Coturnix coturnix,GR,A113,GRA113,Reproduction,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Coturnix coturnix,GR,A113,GRA113,Reproduction,,,ORNIS DATABASE. Greece.,,,,
Gallinula chloropus,GR,A123,GRA123,Reproduction,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Gallinula chloropus,GR,A123,GRA123,Reproduction,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Gallinula chloropus,GR,A123,GRA123,Reproduction,,,ORNIS DATABASE. Greece.,,,,
Fulica atra,GR,A125,GRA125,Reproduction,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Fulica atra,GR,A125,GRA125,Reproduction,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Fulica atra,GR,A125,GRA125,Reproduction,,,ORNIS DATABASE. Greece.,,,,
Columba palumbus,GR,A208,GRA208,Reproduction,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Columba palumbus,GR,A208,GRA208,Reproduction,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Columba palumbus,GR,A208,GRA208,Reproduction,,,ORNIS DATABASE. Greece.,,,,
Streptopelia turtur,GR,A210,GRA210,Reproduction,,,"HANDRINOS, G & T. AKRIOTIS, 1997. The Birds of Greece. Helm. London. 336p.",,,,
Streptopelia turtur,GR,A210,GRA210,Reproduction,,,HELLENIC BIRD RINGING CENTER. Recoveries in Greece of birds ringed in foreign countries (1930-1997). Unpublished report.,,,,
Streptopelia turtur,GR,A210,GRA210,Reproduction,,,ORNIS DATABASE. Greece.,,,,
