name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Larus ridibundus,DK,A179,DKA179,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Limosa limosa,DK,A156,DKA156,Reproduction,,Web-material,9.	DOF Atlas III. Dansk Ornitologisk Forenings fugleatlas 2014-2017: https://dofbasen.dk/atlas/,country,2014-2017,Citizen science data,Danish
Larus ridibundus,DK,A179,DKA179,Both,,Other,32.	Kjeld T. Pedersen,country,up to 2018,Expert opinion,Dansih
Larus marinus,DK,A187,DKA187,Reproduction,,Other,32.	Kjeld T. Pedersen,country,up to 2018,Expert opinion,Dansih
Larus ridibundus,DK,A179,DKA179,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Larus marinus,DK,A187,DKA187,Migration,,Web-material,8.	DOFbasen. Elektronisk online database. Dansk Ornitologisk Forening. (http://www.dofbasen.dk/).,country,2010-2018,Citizen science data,Danish
Anas crecca,EE,A052,EEA052,Migration,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Melanitta nigra,EE,A065,EEA065,Migration,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Tringa erythropus,EE,A161,EEA161,Migration,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Streptopelia decaocto,EE,A209,EEA209,Migration,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Mergus serrator,EE,A069,EEA069,Reproduction,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Mergus merganser,EE,A070,EEA070,Reproduction,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Lymnocryptes minimus,EE,A152,EEA152,Reproduction,,,"ELTS, J. 2007. Status of Annex II bird species in Estonia. Report of Estonian. Ornithological Society for Estonian Ministry of the Environment.",,,,
Anas penelope,FIN,A050,FINA050,Reproduction,,Other,"Saurola, P., Valkama, J. and Velmala, W. 2013. The Finnish bird ringing atlas vol. I. – Finnish Museum of Natural History, Helsinki.",country,2000-2018,Ringing,Finnish
Anas penelope,FIN,A050,FINA050,Reproduction,,Other,National wing sample survey,country,"2005-2007, 2014-2016",Wing samples,Finnish
Anas penelope,FIN,A050,FINA050,Reproduction,,Other,Unpublished brood count data from years 2000-2009 at Evo,individual site,2000-2009,Visual counts,Finnish
Anas acuta,FIN,A054,FINA054,Reproduction,,Other,"Saurola, P., Valkama, J. and Velmala, W. 2013. The Finnish bird ringing atlas vol. I. – Finnish Museum of Natural History, Helsinki.",country,2000-2018,Ringing,Finnish
Anas acuta,FIN,A054,FINA054,Reproduction,,Other,National wing survey,country,"2005-2007, 2014-2016",Wing samples,Finnish
Aythya fuligula,FIN,A061,FINA061,Reproduction,,Other,"Saurola, P., Valkama, J. and Velmala, W. 2013. The Finnish bird ringing atlas vol. I. – Finnish Museum of Natural History, Helsinki.",country,2000-2018,Ringing,Finnish
Aythya fuligula,FIN,A061,FINA061,Reproduction,,Other,National wing sample survey,country,"2005-2007, 2014-2017",Wing samples,Finnish
Larus argentatus,FIN,A184,FINA184,Reproduction,,Other,"Valkama, J., Saurola, P., Lehikoinen, A., Lehikoinen, E., Piha, M., Sola, P. and Velmala, W. 2014. Th e Finnish bird ringing atlas vol. II. – Finnish Museum of Natural History, Helsinki.",country,2000-2018,Ringing,Finnish
Larus marinus,FIN,A187,FINA187,Reproduction,,Other,"Valkama, J., Saurola, P., Lehikoinen, A., Lehikoinen, E., Piha, M., Sola, P. and Velmala, W. 2014. Th e Finnish bird ringing atlas vol. II. – Finnish Museum of Natural History, Helsinki.",country,2000-2018,Ringing,Finnish
